,"Treated P1",,"Treated P2",,"Treated P3",,"Untreated 1",,"Untreated 2",,"Untreated 3"
3105.47,130.26277,3105.47,122.99219,3105.47,40.81466,3105.47,226.55914,3105.47,211.73466,3105.47,498.7774
3104.24,138.89064,3104.24,131.08483,3104.24,35.08876,3104.24,239.02383,3104.24,218.47463,3104.24,504.46989
3103.01,151.08077,3103.01,132.97962,3103.01,36.5068,3103.01,238.72991,3103.01,229.46823,3103.01,516.49895
3101.79,159.66585,3101.79,134.31017,3101.79,30.95132,3101.79,248.89555,3101.79,243.23405,3101.79,530.22086
3100.56,166.94453,3100.56,139.27952,3100.56,29.12676,3100.56,250.42009,3100.56,242.85649,3100.56,548.00564
3099.33,173.66797,3099.33,124.85272,3099.33,25.25066,3099.33,242.27384,3099.33,248.06035,3099.33,554.12087
3098.11,167.67668,3098.11,105.91862,3098.11,22.05654,3098.11,232.38671,3098.11,233.70107,3098.11,560.64973
3096.88,161.75345,3096.88,91.95304,3096.88,13.43084,3096.88,227.10654,3096.88,182.17706,3096.88,557.05023
3095.65,174.89926,3095.65,100.63394,3095.65,11.35982,3095.65,228.84723,3095.65,119.17573,3095.65,546.55536
3094.42,182.76863,3094.42,127.07776,3094.42,17.58122,3094.42,231.43015,3094.42,200.46255,3094.42,554.43963
3093.19,206.16708,3093.19,168.67324,3093.19,36.00763,3093.19,237.70752,3093.19,332.80807,3093.19,584.04818
3091.96,238.9827,3091.96,198.99415,3091.96,49.97153,3091.96,248.87085,3091.96,464.40858,3091.96,611.51248
3090.74,272.23486,3090.74,236.66051,3090.74,77.36306,3090.74,258.55506,3090.74,579.93891,3090.74,636.15134
3089.51,299.68591,3089.51,260.23967,3089.51,101.41133,3089.51,262.66106,3089.51,675.55056,3089.51,654.08521
3088.28,321.5887,3088.28,283.87175,3088.28,122.63986,3088.28,275.23646,3088.28,743.15991,3088.28,663.00585
3087.05,325.9027,3087.05,307.17417,3087.05,134.80691,3087.05,278.37836,3087.05,793.71716,3087.05,662.48292
3085.82,328.7694,3085.82,323.8325,3085.82,148.95011,3085.82,273.84843,3085.82,822.44095,3085.82,651.10011
3084.59,327.44711,3084.59,333.18844,3084.59,153.51024,3084.59,268.85337,3084.59,836.91115,3084.59,625.65357
